storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,n_generator_buses_considered,rank,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v3,rank_index
WP232009,MIRINAE,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,135,0.0,0.0,0.0,0.0,135
WP242009,UNNAMED,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,136,0.0,0.0,0.0,0.0,136
WP272009,UNNAMED,2009,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,137,0.0,0.0,0.0,0.0,137
WP032010,CONSON,2010,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,138,0.0,0.0,0.0,0.0,138
WP042010,CHANTHU,2010,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,133,139,0.0,0.0,0.0,0.0,139
WP052010,DIANMU,2010,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,133,140,0.0,0.0,0.0,0.0,140
WP062010,MINDULLE,2010,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,133,141,0.0,0.0,0.0,0.0,141
WP072010,LIONROCK,2010,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,21,133,142,0.0,0.0,0.0,0.0,142
WP112010,MERANTI,2010,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,143,0.0,0.0,0.0,0.0,143
WP122010,FANAPI,2010,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,133,144,0.0,0.0,0.0,0.0,144
WP152010,MEGI,2010,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,22,133,145,0.0,0.0,0.0,0.0,145
WP162010,CHABA,2010,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,133,146,0.0,0.0,0.0,0.0,146
WP032011,AERE,2011,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,133,147,0.0,0.0,0.0,0.0,147
WP042011,SONGDA,2011,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,148,0.0,0.0,0.0,0.0,148
WP052011,SARIKA,2011,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,149,0.0,0.0,0.0,0.0,149
WP062011,HAIMA,2011,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,133,150,0.0,0.0,0.0,0.0,150
WP072011,MEARI,2011,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,133,151,0.0,0.0,0.0,0.0,151
WP102011,NOCK-TEN,2011,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,133,152,0.0,0.0,0.0,0.0,152
WP142011,NANMADOL,2011,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,25,133,153,0.0,0.0,0.0,0.0,153
WP202011,NESAT,2011,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,154,0.0,0.0,0.0,0.0,154
WP232011,BANYAN,2011,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,17,133,155,0.0,0.0,0.0,0.0,155
WP262011,UNNAMED,2011,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,133,156,0.0,0.0,0.0,0.0,156
WP272011,WASHI,2011,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,157,0.0,0.0,0.0,0.0,157
WP012012,UNNAMED,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,133,158,0.0,0.0,0.0,0.0,158
WP042012,MAWAR,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,133,159,0.0,0.0,0.0,0.0,159
WP052012,GUCHOL,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,133,160,0.0,0.0,0.0,0.0,160
WP062012,TALIM,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,133,161,0.0,0.0,0.0,0.0,161
WP072012,DOKSURI,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,133,162,0.0,0.0,0.0,0.0,162
WP092012,VICENTE,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,133,163,0.0,0.0,0.0,0.0,163
WP102012,SAOLA,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,17,133,164,0.0,0.0,0.0,0.0,164
WP142012,KAI-TAK,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,165,0.0,0.0,0.0,0.0,165
WP152012,TEMBIN,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,24,133,166,0.0,0.0,0.0,0.0,166
WP182012,JELAWAT,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,133,167,0.0,0.0,0.0,0.0,167
WP212012,GAEMI,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,168,0.0,0.0,0.0,0.0,168
WP242012,SON-TINH,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,169,0.0,0.0,0.0,0.0,169
WP252012,UNNAMED,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,133,170,0.0,0.0,0.0,0.0,170
WP262012,BOPHA,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,21,133,171,0.0,0.0,0.0,0.0,171
WP272012,WUKONG,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,133,172,0.0,0.0,0.0,0.0,172
WP012013,SONAMU,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,133,173,0.0,0.0,0.0,0.0,173
WP022013,SHANSHAN,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,174,0.0,0.0,0.0,0.0,174
WP042013,LEEPI,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,133,175,0.0,0.0,0.0,0.0,175
WP052013,BEBINCA,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,176,0.0,0.0,0.0,0.0,176
WP062013,RUMBIA,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,177,0.0,0.0,0.0,0.0,177
WP082013,CIMARON,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,133,178,0.0,0.0,0.0,0.0,178
WP092013,JEBI,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,133,179,0.0,0.0,0.0,0.0,179
WP102013,MANGKHUT,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,133,180,0.0,0.0,0.0,0.0,180
WP112013,UTOR,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,181,0.0,0.0,0.0,0.0,181
WP122013,TRAMI,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,182,0.0,0.0,0.0,0.0,182
WP142013,KONG-REY,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,183,0.0,0.0,0.0,0.0,183
WP172013,USAGI,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,133,184,0.0,0.0,0.0,0.0,184
WP202013,WUTIP,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,185,0.0,0.0,0.0,0.0,185
WP242013,NARI,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,133,186,0.0,0.0,0.0,0.0,186
WP292013,KROSA,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,187,0.0,0.0,0.0,0.0,187
WP302013,UNNAMED,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,133,188,0.0,0.0,0.0,0.0,188
WP322013,PODUL,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,133,189,0.0,0.0,0.0,0.0,189
WP012014,LINGLING,2014,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,133,190,0.0,0.0,0.0,0.0,190
WP022014,KAJIKI,2014,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,133,191,0.0,0.0,0.0,0.0,191
WP042014,UNNAMED,2014,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,133,192,0.0,0.0,0.0,0.0,192
WP072014,HAGIBIS,2014,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,133,193,0.0,0.0,0.0,0.0,193
WP082014,NEOGURI,2014,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,133,194,0.0,0.0,0.0,0.0,194
WP092014,RAMMASUN,2014,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,195,0.0,0.0,0.0,0.0,195
WP102014,MATMO,2014,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,133,196,0.0,0.0,0.0,0.0,196
