storm_id,storm_name,year,rank,impact_score,impact_land_only,impact_sea_only,land_share_of_split
WP242007,MITAG,2007,98,0.6390320286385549,0.5415093086473758,0.3744849372132997,0.5911710811442591
WP332018,USAGI,2018,99,0.6070379285669546,0.2966842502172451,0.33705919244725435,0.46814567259247875
WP162014,FUNG-WONG,2014,100,0.5897573720529462,0.5920832807241948,0.12078931036330454,0.8305597495633289
WP142012,KAI-TAK,2012,101,0.5424142959894827,0.06553903152989815,0.5122838306297258,0.11342408862976583
WP242008,MAYSAK,2008,102,0.5340324673739626,0.2690946711272308,0.3114305450321029,0.4635365762533454
WP032006,JELAWAT,2006,103,0.5123737139307426,0.4754208359457392,0.06634586838089997,0.8775379368073918
WP292004,MUIFA,2004,104,0.5109829047365396,0.0,0.5109829047365396,0.0
WP242017,KHANUN,2017,105,0.494654020406276,0.0,0.494654020406276,0.0
WP162017,PAKHAR,2017,106,0.45920240779202576,0.46107557380453246,0.07184983542983424,0.8651784392621509
WP132008,NURI,2008,107,0.4568360101999793,0.0,0.4568360101999793,0.0
WP252003,NEPARTAK,2003,108,0.41593004129846184,0.3129076274228169,0.11222557938808073,0.7360225510730347
WP242021,KOMPASU,2021,109,0.4138589543614663,0.0,0.4138589543614663,0.0
WP262020,KROVANH,2020,110,0.4059586644704556,0.09462912537041761,0.3277421980702212,0.22404249559266548
WP012013,SONAMU,2013,111,0.3897638531272352,0.15973496418657393,0.24476592706604783,0.3948939733900737
WP322017,KAI-TAK,2017,112,0.37260133261534484,0.3838922820885371,0.0405659147053823,0.9044289519868134
WP322013,PODUL,2013,113,0.3590224837148727,0.1782297928634102,0.22770364898704382,0.43906161574406605
WP012018,BOLAVEN,2017,114,0.3420132381747921,0.0,0.3420132381747921,0.0
WP152014,KALMAEGI,2014,115,0.3243470724744349,0.28708472329411366,0.18046551074887143,0.6140189917383722
WP032019,UNNAMED,2019,116,0.3191952605170284,0.19479977515879154,0.13012489050996598,0.5995228917381697
WP042004,NIDA,2004,117,0.307618051370346,0.26261307312193394,0.17361087729610972,0.6020143388969489
WP242005,BOLAVEN,2005,118,0.29908594472203226,0.30814915516815444,0.06397848153169586,0.8280738240806892
WP222021,LIONROCK,2021,119,0.2933823480663187,0.17439658945200803,0.1295778801836986,0.5737211735610916
WP032009,LINFA,2009,120,0.2922875683764801,0.14808485077278663,0.18151057036128346,0.44929280347177486
WP132018,UNNAMED,2018,121,0.28920714896047695,0.0,0.28920714896047695,0.0
WP062016,NIDA,2016,122,0.28587774403468497,0.0,0.28587774403468497,0.0
WP052009,SOUDELOR,2009,123,0.27891661432957976,0.0,0.27891661432957976,0.0
WP042014,UNNAMED,2014,124,0.25149149878550486,0.0,0.25149149878550486,0.0
WP032011,AERE,2011,125,0.245779122132924,0.0,0.245779122132924,0.0
WP022014,KAJIKI,2014,126,0.2324740732248082,0.15378326931748634,0.08661802426217992,0.6396940175636963
WP062001,UTOR,2001,127,0.22836692537478048,0.0,0.22836692537478048,0.0
WP272003,UNNAMED,2003,128,0.22300968808007166,0.2297675574158314,0.01982420146339824,0.9205734934822483
WP042015,MAYSAK,2015,129,0.2218832016537462,0.22860693503719307,0.043114451092668024,0.8413284588793363
