storm_id,storm_name,year,n_failed_lines,failed_line_share,n_unserved_buses,unserved_bus_share,affected_population_proxy,n_components_after_failure,rank
WP212021,DIANMU,2021,0,0.0,0,0.0,0.0,1,234
WP222003,UNNAMED,2003,0,0.0,0,0.0,0.0,1,235
WP222005,KAI-TAK,2005,0,0.0,0,0.0,0.0,1,236
WP222006,CIMARON,2006,0,0.0,0,0.0,0.0,1,237
WP222009,LUPIT,2009,0,0.0,0,0.0,0.0,1,238
WP222011,NALGAE,2011,0,0.0,0,0.0,0.0,1,239
WP222014,HAGUPIT,2014,0,0.0,0,0.0,0.0,1,240
WP222015,MUJIGAE,2015,0,0.0,0,0.0,0.0,1,241
WP222016,AERE,2016,0,0.0,0,0.0,0.0,1,242
WP222017,UNNAMED,2017,0,0.0,0,0.0,0.0,1,243
WP222021,LIONROCK,2021,0,0.0,0,0.0,0.0,1,244
WP232000,WUKONG,2000,0,0.0,0,0.0,0.0,1,245
WP232001,LEKIMA,2001,0,0.0,0,0.0,0.0,1,246
WP232002,HAGUPIT,2002,0,0.0,0,0.0,0.0,1,247
WP232005,TEMBIN,2005,0,0.0,0,0.0,0.0,1,248
WP232006,CHEBI,2006,0,0.0,0,0.0,0.0,1,249
WP232007,HAGIBIS,2007,0,0.0,0,0.0,0.0,1,250
WP232009,MIRINAE,2009,0,0.0,0,0.0,0.0,1,251
WP232011,BANYAN,2011,0,0.0,0,0.0,0.0,1,252
WP232014,JANGMI,2014,0,0.0,0,0.0,0.0,1,253
WP232019,BULBUL:MATMO,2019,0,0.0,0,0.0,0.0,1,254
WP232020,ATSANI,2020,0,0.0,0,0.0,0.0,1,255
WP232022,NESAT,2022,0,0.0,0,0.0,0.0,1,256
WP242000,BOPHA,2000,0,0.0,0,0.0,0.0,1,257
WP242003,MELOR,2003,0,0.0,0,0.0,0.0,1,258
WP242005,BOLAVEN,2005,0,0.0,0,0.0,0.0,1,259
WP242006,DURIAN,2006,0,0.0,0,0.0,0.0,1,260
WP242007,MITAG,2007,0,0.0,0,0.0,0.0,1,261
WP242008,MAYSAK,2008,0,0.0,0,0.0,0.0,1,262
WP242009,UNNAMED,2009,0,0.0,0,0.0,0.0,1,263
WP242012,SON-TINH,2012,0,0.0,0,0.0,0.0,1,264
WP242013,NARI,2013,0,0.0,0,0.0,0.0,1,265
WP242015,KOPPU,2015,0,0.0,0,0.0,0.0,1,266
WP242016,SARIKA,2016,0,0.0,0,0.0,0.0,1,267
