storm_id,impact_score,max_hazard,mean_hazard,impacted_buses,year,storm_name
WP242008,0.5251927299544724,0.033886906682849036,0.00216205937957193,52,2008,MAYSAK
WP142012,0.5176276865453632,0.12609357365983295,0.002152216977127274,10,2012,KAI-TAK
WP032006,0.5086544174056081,0.07971547095218298,0.0021255581128378745,33,2006,JELAWAT
WP292004,0.5052797062337641,0.07574187737351958,0.00186004597420319,21,2004,MUIFA
WP242017,0.4995192349598258,0.145798787283516,0.0021063801003051957,22,2017,KHANUN
WP162017,0.45812380947126485,0.0701709143846321,0.00179958412807805,26,2017,PAKHAR
WP132008,0.4329396127270414,0.1556018091052345,0.0018191637597641025,6,2008,NURI
WP262020,0.40731971704350767,0.030140791510919304,0.0017008021332690154,40,2020,KROVANH
WP252003,0.40337557554108555,0.14123952485193672,0.0017216732000144362,24,2003,NEPARTAK
WP242021,0.39342677498644374,0.1059617478355948,0.0016585890227034938,7,2021,KOMPASU
WP012013,0.3891970299081017,0.05561729836265923,0.001659121159783781,37,2013,SONAMU
WP322017,0.35972787148297536,0.10027207939627336,0.001541985132016918,29,2017,KAI-TAK
WP322013,0.355509534037912,0.02189005527638835,0.0015134250440590683,48,2013,PODUL
WP012018,0.3378256740148289,0.024419406375954338,0.001431787637561545,44,2017,BOLAVEN
WP152014,0.32050104429515924,0.06754272029379695,0.001298915051678273,12,2014,KALMAEGI
WP032019,0.31383300519978197,0.07802268166973929,0.001328045114303451,19,2019,UNNAMED
WP042004,0.30683219893163843,0.04525613424905559,0.0011491140496377682,8,2004,NIDA
WP242005,0.2938755237802177,0.13063710165735024,0.001183522809317376,12,2005,BOLAVEN
WP032009,0.2924078803382543,0.05978859040455649,0.001209598473971086,24,2009,LINFA
WP222021,0.2896989011236125,0.03225564675705916,0.0012296579751606015,48,2021,LIONROCK
WP132018,0.27477994279553586,0.09472833878621287,0.0011600642174539651,7,2018,UNNAMED
WP062016,0.27309691635028915,0.08069790436746249,0.0011426535120952002,8,2016,NIDA
WP052009,0.2642734372496592,0.08427087409284162,0.0011118205472620648,7,2009,SOUDELOR
WP032011,0.2453977294884316,0.03024393343343061,0.0009038882628864443,11,2011,AERE
WP042014,0.24444435457371713,0.08007905996558226,0.001050100552939832,40,2014,UNNAMED
WP022014,0.23041004279221455,0.02792826898764806,0.0009616606797802767,29,2014,KAJIKI
WP042015,0.22044857014937108,0.08396157177220677,0.000780963239959574,10,2015,MAYSAK
WP272003,0.21733830645959848,0.0627224885051333,0.0009507677095529979,15,2003,UNNAMED
WP062001,0.21693260109632087,0.06059283010287024,0.0009118101573036318,6,2001,UTOR
WP012009,0.2002163112667495,0.07012829150056525,0.000763785641900551,9,2009,KUJIRA
WP072000,0.1888921535764252,0.012147925459676606,0.0005334111401824623,34,2000,UNNAMED
WP052023,0.18754107231128858,0.06556225162725969,0.0007889170274775686,6,2023,DOKSURI
WP222003,0.18075730337901288,0.023079688887055694,0.0007378083836160663,16,2003,UNNAMED
WP242000,0.1727391269825534,0.06370945100563782,0.0006597619294415052,9,2000,BOPHA
WP102005,0.1556289157598813,0.04959089451058335,0.0006491442373004362,7,2005,SANVU
WP022013,0.1366706357400983,0.06319356492936316,0.0005927172801309964,4,2013,SHANSHAN
WP012021,0.11055720532815685,0.036222609861934,0.00047612653175484735,12,2021,DUJUAN
WP242020,0.10759532069161953,0.014818165664583303,0.00041875282062069286,25,2020,ETAU
WP142011,0.10328372814252802,0.04301621666954847,0.00041015525688807607,5,2011,NANMADOL
WP162005,0.101149003132454,0.009923683372422441,0.00035304635877255543,20,2005,VICENTE
WP162007,0.09580395953396197,0.015067754638294668,0.0003614758509423291,20,2007,LEKIMA
WP082021,0.09311126007723851,0.008438541158059799,0.0002940788138876865,27,2021,UNNAMED
WP012002,0.0919596967875003,0.022466268328473284,0.0003427459710046868,9,2002,TAPAH
WP172005,0.08666350771821921,0.030168440741832444,0.00036382737111437827,6,2005,DAMREY
WP132020,0.08209525792100088,0.008408259901315364,0.0003045934161195794,23,2020,NOUL
WP022000,0.07336702628994403,0.03644420823431145,0.00029310390428287516,12,2000,LONGWANG
WP062015,0.06742994560527615,0.03691827608914999,0.0002569642393582366,2,2015,NOUL
WP182020,0.06122499075833918,0.007776544288143431,0.00023653389426832482,17,2020,NANGKA
WP272009,0.06117716092557691,0.021069361514297443,0.0002684315360398629,6,2009,UNNAMED
WP182008,0.0602950642288811,0.02195070257505107,0.00025288507853853413,4,2008,HAGUPIT
WP262008,0.05834208470928591,0.018755669041955095,0.0002540816433766724,4,2008,NOUL
WP232022,0.05561636666014867,0.0181472266796385,0.00023335556677197392,4,2022,NESAT
WP072004,0.05165542489371866,0.005558318113778249,0.00021608699486551385,11,2004,CONSON
WP182023,0.04653716534980972,0.02979254132665989,0.0002533329162613914,3,2023,JELAWAT
WP082013,0.044163675644031605,0.01479221616758763,0.00017487376764293647,6,2013,CIMARON
WP102000,0.04191604073737526,0.02494049448406141,0.00016375629046632193,4,2000,BOLAVEN
